Number,Name,Type1,Type2,Abilities,HP,Attack,Defense,SpAtk,SpDef,Speed,BST,Mean,Std,Gen
1,Bulbasaur,Grass,Poison,"['Chlorophyll', 'Overgrow']",45,49,49,65,65,45,318,53.0,8.640987597877146,1.0
2,Ivysaur,Grass,Poison,"['Chlorophyll', 'Overgrow']",60,62,63,80,80,60,405,67.5,8.902246907382429,1.0
3,Venusaur,Grass,Poison,"['Chlorophyll', 'Overgrow']",80,82,83,100,100,80,525,87.5,8.902246907382429,1.0
4,Charmander,Fire,,"['Blaze', 'Solar Power']",39,52,43,60,50,65,309,51.5,8.995369179009089,1.0
5,Charmeleon,Fire,,"['Blaze', 'Solar Power']",58,64,58,80,65,80,405,67.5,9.233092656309694,1.0
6,Charizard,Fire,Flying,"['Blaze', 'Solar Power']",78,84,78,109,85,100,534,89.0,11.575836902790224,1.0
7,Squirtle,Water,,"['Rain Dish', 'Torrent']",44,48,65,50,64,43,314,52.333333333333336,8.919392106839767,1.0
8,Wartortle,Water,,"['Rain Dish', 'Torrent']",59,63,80,65,80,58,405,67.5,9.142392101268316,1.0
9,Blastoise,Water,,"['Rain Dish', 'Torrent']",79,83,100,85,105,78,530,88.33333333333333,10.386957633921922,1.0
10,Caterpie,Bug,,"['Run Away', 'Shield Dust']",45,30,35,20,20,45,195,32.5,10.307764064044152,1.0
11,Metapod,Bug,,['Shed Skin'],50,20,55,25,25,30,205,34.166666666666664,13.359349618234496,1.0
12,Butterfree,Bug,Flying,['Tinted Lens'],60,45,50,90,80,70,395,65.83333333333333,15.920810978785664,1.0
13,Weedle,Bug,Poison,"['Run Away', 'Shield Dust']",40,35,30,20,20,50,195,32.5,10.70436048222094,1.0
14,Kakuna,Bug,Poison,['Shed Skin'],45,25,50,25,25,35,205,34.166666666666664,10.172129679778084,1.0
15,Beedrill,Bug,Poison,"['Sniper', 'Swarm']",65,90,40,45,80,75,395,65.83333333333333,18.12380264244296,1.0
16,Pidgey,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",40,45,40,35,35,56,251,41.833333333333336,7.197607627229727,1.0
17,Pidgeotto,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",63,60,55,50,50,71,349,58.16666666666666,7.470311610338324,1.0
18,Pidgeot,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",83,80,75,70,70,101,479,79.83333333333333,10.605292179955356,1.0
19,Rattata,Normal,,"['Guts', 'Hustle', 'Run Away']",30,56,35,25,35,72,253,42.16666666666666,16.46629554237652,1.0
20,Raticate,Normal,,"['Guts', 'Hustle', 'Run Away']",55,81,60,50,70,97,413,68.83333333333333,16.15979235290135,1.0
21,Spearow,Normal,Flying,"['Keen Eye', 'Sniper']",40,60,30,31,31,70,262,43.66666666666666,15.712698332523566,1.0
22,Fearow,Normal,Flying,"['Keen Eye', 'Sniper']",65,90,65,61,61,100,442,73.66666666666667,15.445243784270794,1.0
23,Ekans,Poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55,288,48.0,8.925618559330589,1.0
24,Arbok,Poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",60,95,69,65,79,80,448,74.66666666666667,11.55662388223981,1.0
